job_name,company,location,department,easy_apply,remote,salary,urgently_hiring,company_rating
Software Data Engineer - CDI (H/F),Uptime,Paris 17e,75,True,False,null,False,null
D�veloppeur / Data Engineer H/F,AT Internet,M�rignac,33,True,False,null,False,4.8
Data Engineer / Data Scientist / Freelance,FREELANCE VISION,Niort,79,False,False,null,False,null
DATA ENGINEER,Aquila Consulting,Paris,75,True,False,null,False,null
Data Engineer Tableau Software Power BI H/F,VISIAN,Levallois-Perret,92,True,False,null,False,null
Lead Data Engineer,Ippon,Paris,75,False,False,null,False,null
Internship - Data Engineer,Numberly,Paris 9e,75,False,False,null,False,null
Data Analyst Intern,PayFit,Paris,75,False,True,null,False,null
Production and R&D Engineer,WitMonki,Marseille,13,True,False,30 000 � - 40 000 � par an,False,null
Data Engineer,Pretty Simple,Paris,75,True,False,null,False,null
Stage R&D - Data Engineer / Internship Data Engineer (H/F),Diagnostica Stago,Gennevilliers,92,True,False,null,False,3.8
Data Engineer S�nior H/F,Business & Decision,Lille,59,False,False,null,False,3.2
Back-end / Data Enginner,Square Sense,Paris,75,True,True,null,False,null
Consultant Datascientist H/F (CDD),Well & Wiz,Paris 1er,75,True,False,null,False,null
VP Engineer l Startup l Data l Paris l 100-130k�,Data Recrutement,Paris,75,False,False,100 000 � - 130 000 � par an,False,null
Data Engineer (H/F),NATIXIS,Paris,75,False,False,null,False,3.5
Data Engineer - H/F,FABERNOVEL,Paris,75,False,False,50 000 � par an,False,null
Data Engineer F/M,Danone,Saint-Ouen,93,False,False,null,False,4.2
Data Engineer,OnCrawl,M�rignac,33,False,False,null,False,null
Data engineer confirm�(e) Niort H/F,Business & Decision,Niort,79,False,False,null,False,3.2
Data Scientist Position,PARIS-SACLAY CENTER FOR DATA SCIENCE,Orsay,91,True,False,null,False,null
Data Engineer AWS,Getpro,Paris,75,False,False,40 000 � - 60 000 � par an,False,null
Data Engineer F/H,NATIXIS,Paris 1er,75,False,False,null,False,4.0
Stage - 6 mois - Data Engineer - BI H/F - Paris 12�me,NATIXIS,Paris,75,False,False,null,False,3.5
Senior Data Engineer (H/F) � CDI,HILTI,Boulogne-Billancourt,92,False,False,null,False,4.0
Junior Process Engineer,Doris Group,Paris,75,False,False,null,False,null
Stage - Data Engineer,SCOR,Paris,75,False,False,null,False,3.4
DATA ENGINEER (JUNIOR) #PYTHON #BIGQUERY #GCP #MUSIQUE #SCAL...,Urban Linker,Boulogne-Billancourt,92,False,False,null,False,4.2
Data Engineer H/F,CAPFI,Paris,75,True,False,null,False,null
DATA ENGINEER H/F,Umanis,Villeneuve-d'Ascq,59,False,False,null,False,2.9
